Company,Location,Sector,About,Amount,Stage,Funding Year
Porter,Mumbai,Logistics,Logistics and fleet management,18370000.0,Series D,2020
Sugarbox,Mumbai,Tech,Hyperlocal data distribution platform,68525000.0,,2020
Capital Float,Bengaluru,Fintech,Online platform that provides working capital finance to SMEs,4800000.0,Series F,2020
Big Basket,Bengaluru,E Store,Online grocery store,60000000.0,,2020
Amica,Mumbai,Fintech,Neobanking startup,2000000.0,,2020
Vedantu,Bengaluru,Edtech,Onine learning platform,12500000.0,Series C,2020
Fingerlix,Mumbai,Food,It provides readytocook products such as batters mixes curries dals parathas etc,1834000.0,,2020
Plop,Mumbai,Tech,It Provides an interactive fiction entertainment platform to entertain  educate Gen Z  Millennials in a language they understand,,Angel Round,2020
Zupee,Gurugram,Gaming,It runs live quiz tournaments on its app,8000000.0,Series A,2020
Dehaat,Patna,Agritech,Online marketplace for farming services and products,12000000.0,Series A,2020
Lido Learning,Mumbai,Edtech,Online teaching service,7500000.0,Series B,2020
Aye Finance,Gurugram,Fintech,A finance lender to SMEs,23850000.0,,2020
Swiggy,Bengaluru,Foodtech,Platform to order food online from restaurants and getting it delievered,43000000.0,Series A,2020
Akna Medical,Bengaluru,Healthtech,Provides supply solutions for surgical and pharmaceutical products,7000000.0,,2020
Zomato,Gurugram,Foodtech,Online food delivery and restaurant discovery platform,5000000.0,,2020
Rara Delivery,Jakarta,Logistics,Provides same day delivery service for ecommerce businesses,800000.0,Seed Round,2020
Juspay,Bengaluru,Fintech,Online payment solutions,21600000.0,Series B,2020
Obviously Ai,San Francisco,Data Science,It provides predictive insights to clients by leveraging their data,,,2020
Fingpay,Mumbai,Fintech,Provides payment solutions,3500000.0,Series A,2020
Recko,Bengaluru,Saas,The platform enables AIpowered reconciliation of digital transactions,6000000.0,Series A,2020
Furlenco,Bengaluru,Ecommerce,Furniture rental startup,10000000.0,,2020
Mera Cashier,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,150000.0,,2020
Kitchens Centre,Delhi,Food Service Infrastructure,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,500000.0,Seed Round,2020
Camp K12,Gurugram,Edtech,It connects students with tutors online,4000000.0,Seed Round,2020
Medgenome,Bengaluru,Healthtech,Genetic diagnostic testing company,55000000.0,Series D,2020
Ergos,Bengaluru,Agritech,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,4598000.0,,2020
Nykaa,Mumbai,Ecommerce,Deals in cosmetic and wellness products,13137000.0,,2020
Samadhan,Delhi,Insurance,They help find solutions to insurance related issues,,Seed Round,2020
Sascan,Bengaluru,Healthcare,Cancer diagnostics startup,,,2020
Lido Learning,Mumbai,Edtech,Online teaching service,3000000.0,,2020
Curefit,Bengaluru,Health And Fitness,Integrated platform for food fitness and meditation,115000000.0,Series D,2020
Nimesa,Bengaluru,Saas,Cloud data managemnt solutions enterprise,,,2020
Design X,Noida,Iot,Builds IoT based products,200000.0,Seed Round,2020
Driftly Electric,Bengaluru,Automobile,Electric vehicle startup,,,2020
Imstrong,Bengaluru,Fitness,It is an online and live videostreaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes,400000.0,Seed Round,2020
Craftsvilla,Mumbai,Marketplace,Online marketplace for ethnic wear,3900000.0,,2020
Rupifi,Bengaluru,Fintech,Offers financial products for SMEs,,Pre seed round,2020
Snackamor,Mumbai,Food,It offers various healthy snacks,,Seed Round,2020
Zealthy,Bengaluru,Healthtech,It connects women to healthproviders for specialities like infertility maternity etc,,Seed Round,2020
Coindcx,Mumbai,Fintech,A cryptocurrency trading platform,3000000.0,Series A,2020
Nunu Tv,New Delhi,Media,Kidsfocussed Youtube channel,670000.0,,2020
Qtalk,Bengaluru,Technology,Smart Phone Dialer,1600000.0,Seed Round,2020
Shadez,Mumbai,Interior & Decor,Paint Company,100000.0,Seed Round,2020
Excess2Sell,Mumbai,Ecommerce,B2B Marketplace for Overstock  Surplus Inventory,1000000.0,,2020
Stanplus,Hyderabad,Healthtech,Ambulance service,1500000.0,Pre series A,2020
Pitstop,Bengaluru,Automobile,Doorstep car service,2500000.0,Series A,2020
Univariety,Hyderabad,Edtech,Online marketplace that provides career counselling and college guidance,1100000.0,,2020
Peel Works,Mumbai,Saas,Ecommerce for cornerretail stores,,"Series C, D",2020
Corestack,Chennai,Technology,Enterprise cloud governance technology startup,8500000.0,Series A,2020
Vivriti Capital,Chennai,Fintech,Digital lending startup,50000000.0,Series B,2020
Agnikul,Chennai,Spacetech,It designs fabricates tests and launch orbital class launch vehicles,3148000.0,Pre series A,2020
Fintso,Mumbai,Fintech,Wealth management platform,2600000.0,,2020
Khatabook,Bengaluru,Fintech,It helps SMEs to maintain their accounts and ledger online,,,2020
Smart Coin,Bengaluru,Fintech,Consumer lending startup,7000000.0,Series A,2020
Zunroof,Gurugram,Cleantech,It specialises in solar rooftop design installation and management using technology,3000000.0,Series A,2020
Shop101,Mumbai,Social E-Commerce,Enables entrepreneurs to sell online,3900000.0,Series C,2020
Om Bhakti,Bengaluru,Fmcg,A puja cottonwicks manufacturing startup,,Seed Round,2020
Lal10,Uttar Pradesh,B2B,It helps Indian artisans and SMEs reach out to global retailers,1100000.0,,2020
Anaxee Digital Runner,Indore,Tech,A techenabled ID verification and data collection startup,,,2020
Collegekhabri,Bhopal,Edtech,Platform is an endtoend college and career counselling platform for students,,,2020
Ola Electric,Bengaluru,Emobility,Electric vehicle,1000000.0,,2020
Multi Living,Mumbai,Real Estate,It curates apartments from the homeowners performs the quality check and offers the homes with builtin services to the potential tenants,6000000.0,,2020
Fampay,Bengaluru,Fintech,It allows parents to send money to their kids below the age of 18 which they can spend securely under parent supervision,4700000.0,Seed Round,2020
Unboxrobotics Labs,Bengaluru,Automation Tech,Automated flexible parcel sorting solutions for logistics providers,500000.0,Seed Round,2020
Karbon Card,Bengaluru,Fintech,Specialisde corporate cards for startups,2000000.0,Seed Round,2020
Airmeet,Bengaluru,Media & Networking,A platform to host discover and attend fully remote events like conferences and professional meetups,3000000.0,,2020
Innerchef,Gurugram,Foodtech,Cloud kitchen platform,1000000.0,,2020
Epigamia,Mumbai,Fmcg,Flavoured and greek yoghurt brand,,Series C,2020
Stylenook,Mumbai,Ecommerce,Marketplace for fashionable apparel,,,2020
Callido Learning,Mumbai,Edtech,Provides a structured educational approach to critical thinking and problem solving skills,,,2020
Soxytoes,Delhi,Ecommerce,Online store to buy various types of socks including funky and colorful socks,,,2020
F5,Bengaluru,E-Market,Retail Aggregator,,Seed Round,2020
Paper Boat,Bengaluru,Food & Beverages,Ecommerce platform for beverages and snacks,4049500.0,,2020
Strata,Bengaluru,Proptech,Real estate investment platform,1500000.0,Seed Round,2020
Salesken,Bengaluru,Ai & Data Science,Provides sales professionals with intelligence on various aspects of the sales pitch,8000000.0,Series A,2020
Arya,Noida,Agritech,Provides postharvest services across the agricultural value chain,6000000.0,Series B,2020
Leap Finance,Bengaluru,Fintech,Provides education loans to students based on the students future income,5500000.0,,2020
Sleepy Owl,Delhi,Beverages,It sells ready to drink cold brew coffees brew boxes and packs,,,2020
Tricog,Bengaluru,Healthtech,Provides virtual cardiology services through its AIpowered healthcare platforms,10500000.0,Series B,2020
Gogobus,Delhi,Travel Tech,InterCity Mobility Startup,,,2020
Trell,Bengaluru,Social E-Commerce,Allows users to share their travel experiences,4000000.0,Pre series A,2020
Spaciya Consultants,Noida,Real Estate,Real estate consultancy firms,500000.0,Pre series A,2020
Bounce,Bengaluru,Automotive And Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,6500000.0,,2020
Neeman,Hyderabad,Ecommerce,An ecoconscious footwear brand making comfortable shoes using Merino Wool,1000000.0,Pre series A,2020
Chqbook,Gurugram,Fintech,Marketplace for small business owners offering them products around lending credit cards etc,5000000.0,Series A,2020
Smecorner,Mumbai,Fintech,Financial lending firm to SMEs,30000000.0,Series B,2020
Oda Class,Bengaluru,Edtech,It offers content and material via video adopting a dualteacher model with IIT and NIT alumni,,Pre series A,2020
Spinny,Haryana,E-Tail,Used car retailing platform,43700000.0,Series B,2020
Gostops,Delhi,Accomodation,A premium chain of youth hostels catering to the millennials,,,2020
Umeed Housing,Haryana,Fintech,Housing finance company,23000000.0,Series D,2020
Vogo,Bengaluru,Automotive,A scootersharing platform allowing users to rent a twowheeler from specific designated pick up points,20000000.0,Series C,2020
Flick Stree,Mumbai,Ai & Media,Artificial intelligencebased video publishing network,3000000.0,Series A,2020
Qure Ai,Mumbai,Healthtech,Provides interpretations of radiology scans,16000000.0,,2020
Minionlabs,Bengaluru,Machine Learning,It leverages a Machine Learningbased approach to generate a comprehensive report on predictive analytics,,,2020
Josh Talks,Haryana,Media,Community of young individuals providing a platform to showcase their stories,1500000.0,Pre series A,2020
Phoneparloan,Delhi,Fintech,Provides easy loans,,,2020
Railyatri,Noida,Travel,A complete Indian railways app,13800000.0,,2020
Ajnalens,Thane,Deeptech,It leverages technologies such as AR VR  AI to offer hardware in areas such as education and defence,1500000.0,Pre series A,2020
Pepper,Mumbai,Content Marktplace,End to end content creation platform,306900.0,Seed funding,2020
Rupeek,Bengaluru,Fintech,An asset backed online lending platform,30000000.0,,2020
Imerit,Kolkata,It,Turns information into data that is usable for machine learning processes,20000000.0,Series B,2020
Bharatpe,Delhi,Fintech,Digital payments platform,75000000.0,Series C,2020
Invideo,Bengaluru,Visual Media,Video production and editing platform,2500000.0,,2020
Avalonmeta,Bengaluru,Edtech,It combines higher education and competitive gaming,420000.0,,2020
Near Store,Mumbai,Ecommerce,Enables a shop to create an online presence,300000.0,Seed Round,2020
Electorq,Delhi,Automobile,Electric vehicle startup,,,2020
Prayaan Capital,Chennai,Fintech,NBFC that lends to micro small and mediumsized enterprises MSMEs,1200000.0,Seed Round,2020
Sanfe,Delhi,Hygiene,Women health care and wellness product,1100000.0,Pre series A,2020
Go Desi,Delhi,Foodtech,Provides traditional delicacies,627300.0,Seed Round,2020
Swiggy,Bengaluru,Foodtech,Platform to order food online from restaurants and getting it delievered,113000000.0,Series A,2020
Whatfix,Bengaluru,Saas,Digital adoption platform that helps companies provide intuitive onboarding training and support,32000000.0,Series C,2020
Unacademy,Bengaluru,Edtech,Platform that offers online education in India,110000000.0,Series E,2020
Zvesta,Gurugram,Proptech,An online platform where users can search and buy properties listed by developers and brokers,5500000.0,,2020
Dunzo,Bengaluru,Logistics,Indiabased hyperlocal delivery startup,11000000.0,,2020
Digit Insurance,Bengaluru,Insurtech,General Insurance Company,340000.0,,2020
Yolo,Gurugram,Transport,Intercity transportation,600000.0,Seed funding,2020
Smartvizx,Noida,Vr & Saas,It developed Indias first VRbased design communication and collaboration product Trezi,1397000.0,Pre series A,2020
Maxwholesale,Delhi,Ecommerce,B2B ecommerce platform for kirana stores,3000000.0,Series A,2020
Carbon Clean,Bengaluru,Cleantech,Develops affordable carbon capture technology,16000000.0,,2020
Onsitego,Mumbai,Sales & Services,It offers postpurchase services through a network of brand authorised service centres throughout the country,19000000.0,Series B,2020
Genius Corner,Noida,Edtech,Framework to enable personalised learning using artificial intelligence AI and machine learning ML,250000.0,,2020
Planetspark,Gurugram,Edtech,Provides neighbourhood learning zones where children learn and develop newage skills under one roof,448500.0,,2020
Camcom,Bengaluru,Ai & Deep Learning,AI automation platform for enterprise quality control,,,2020
Simsim,Bengaluru,Social Commerce,It enables community opinion influencers to sell products to thousands of microcommunities in India,8000000.0,Series B,2020
Shuttl,Delhi,Transport,App based bus aggregator serice,7975700.0,Series C,2020
Hooliv,Delhi,Housing & Rentals,Student Coliving startup,,,2020
Classmonitor,Indore,Edtech,The learning platform that blends curriculumbased activities for children,,,2020
Friyey,Pune,Co-Working,Co working space startup,,,2020
Oga,Bengaluru,Fitness,Provides interactive fitness experience to people across the world,330000.0,,2020
Big Basket,Bengaluru,Estore,Online grocery store,3500000.0,,2020
Cyfirma,Bengaluru,Saas,Offer cybersecurity services,,Series A,2020
Innoviti,Bengaluru,Fintech,Digital payments solutions company,5000000.0,,2020
Paytm Money,Bengaluru,Fintech,Wealth Management,5600000.0,,2020
Vedantu,Bengaluru,Edtech,Onine learning platform,24000000.0,Series C,2020
Yap,Chennai,Fintech,Banking and payment productsfocused API platform,1402000.0,,2020
Clover,Bengaluru,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,5500000.0,Series A,2020
Nova Credit,New Delhi,Fintech,Crossborder consumer credit startup,50000000.0,Series B,2020
Codingninjas,Delhi,Edtech,Online learning platform,5200000.0,Series A,2020
Furlenco,Bengaluru,Ecommerce,Furniture rental startup,2200000.0,Series C,2020
Brick&Bolt,Bengaluru,Construction And Real Estate,Operates in the residential construction space,1500000.0,Pre series A,2020
Hempstreet,New Delhi,Healthtech,Manufacturer of ayurvedic medicines based on cannabis,1000000.0,Pre series A,2020
Moengage,Bengaluru,Marketing,Customer analytics and crosschannel engagement platform,25000000.0,Series C,2020
Classplus,Noida,Edtech,It allows coaching centres to take their brickandmortar setup online,2500000.0,Pre series A,2020
Chaayos,New Delhi,Beverages,Provides customised range of tea,21500000.0,,2020
Petpooja,Ahmedabad,Saas,Restaurant management software provider,2000000.0,,2020
Altor,Bengaluru,Tech,Makes helmets that are IoT and AI enabled,,,2020
Pepperfry,Mumbai,E-Market,Online home furniture marketplace,40000000.0,Series F,2020
Firstcry,Pune,E-Market,Baby products marketplace,296000000.0,Series E,2020
Byju,Bengaluru,Edtech,Provides online learning classes,200000000.0,,2020
Waycool,Chennai,Agritech,Food development and distribution services,32000000.0,Series C,2020
Workindia,Mumbai,Hr Tech,An online and mobilebased platform that connects companies with blue collar employees,6000000.0,,2020
Qyuki,Mumbai,Media,Multichannel broadcast network,3500000.0,,2020
Leap India,Coimbatore,Agritech,Agricultural warehousing and logistics company,30000000.0,Series B,2020
Picxy,Hyderabad,Media,Stock photo industry,250000.0,,2020
Krimanshi,Jodhpur,Agritech,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,20000.0,,2020
Neetprep,Delhi,Edtech,Provides crash course for NEET preparation,,,2020
Dot Pvt. Ltd,Gurugram,Fintech,It provides digital transformation and commerce solutions to brick and mortar outlets,8000000.0,Seed Round,2020
Kuku Fm,Mumbai,Media,A podcast platform,5500000.0,Series A,2020
Supermoney,Mumbai,Fintech,Provides financial tools for effective business making,1000000.0,Pre series A,2020
Rebel Foods,Mumbai,Food Tech,It runs internet kitchen,4900000.0,,2020
Alphavector,Bengaluru,E Tailor,It sells modern age bicycles named FROG,,,2020
Fox Capital,Jaipur,Fintech,Digital lending startup,2500000.0,,2020
Tribe Theory,Bengaluru,Accomodation,An entrepreneurfocused hostel chain present in multiple locations across the world,3500000.0,,2020
Fleetx,Gurugram,Saas,Fleet management and predictive analytics platform,1402400.0,Series A,2020
Embibe,Mumbai,Edtech,It provides AIbased data analytics to personalise learning outcomes,12618300.0,,2020
Entri,Kochi,Edtech,It is a app that provides different types of learning content in local languages,1400000.0,Seed Round,2020
Oye! Rickshaw,New Delhi,E-Mobility,Appbased electric rickshaw hailing service,10000000.0,Series A,2020
Seal Professional,Bengaluru,Edtech,Trains students in managemnt and leadership skills and also helps in placement,,Pre series A,2020
Sprinng Foods,Mumbai,Food,Provides Glutenfree food,,,2020
1Mg,Gurugram,Healthtech,Online pharmacy,9900000.0,,2020
Aagey,Bengaluru,Fintech,Provides financial assistance to MSMEs,,,2020
Doubtnut,Gurugram,Edtech,Multilingual digital solutions platform for students,15000000.0,Series A,2020
Adonmo,Bengaluru,Ad-Tech,It is an online and outdoor advertising company,3000000.0,,2020
Racenergy,Hyderabad,E-Mobility,It builds electric vehicles and supporting infrastructure,,Seed Round,2020
Bharatpe,Delhi,Fintech,Digital payments platform,100000000.0,,2020
Kisan Network,Gurugram,Agritech,Integrated supply chain for farmers to sell their produce directly to buyers,3000000.0,Seed Round,2020
Vogo,Bengaluru,Automotive,A scootersharing platform allowing users to rent a twowheeler from specific designated pick up points,35000000.0,Series C,2020
Yolo,Gurugram,Transport,Intercity transportation startup,600000.0,Seed Round,2020
Unotech,Mumbai,Saas,It develops fullycustomisable open source software,2000000.0,,2020
Zetwerk,Bengaluru,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,2200000.0,,2020
Cureskin,Bengaluru,Healthtech,Provides a treatment solution for skincare and hair fall issues with an artificial intelligenceenabled solution,500000.0,,2020
Wizklub,Bengaluru,Edtech,Helps students solve problems at complex level,982530.0,Seed Funding,2020
Interviewbit,Pune,Edtech,Platform that provides coding and interview preparation course by industry professionals from tech companies,200000000.0,Series A,2020
Moneytap,Bengaluru,Fintech,Appbased consumer credit line that gives customers access to credit on tap,70185200.0,Series B,2020
Uniplatform Tech,Delhi,Saas,Runs real estate SaaS platform MultiplyMyLeadscom,,,2020
Indwealth,Gurugram,Fintech,An Artificial Intelligence and Machine learning based wealth management platform,12000000.0,Series C,2020
Bizongo,Mumbai,Marketplace,A B2B marketplace for packaging materials,30000000.0,Series C,2020
Appsflyer,Bengaluru,Saas,Mobile marketing analytics and attribution platform,210000000.0,Series D,2020
Digit Insurance,Bengaluru,Insurtech,General Insurance Company,84000000.0,,2020
Livspace,Bengaluru,Interior Design,It offers endtoend home design experience for homeowners and home designers,60000000.0,Series D,2020
Getvantage,Mumbai,Fintech,Revenue based finance provider,,Seed Round,2020
Konfinity,Noida,Edtech,Provides online coding courses,,,2020
Pine Labs,Noida,Fintech,Retail payment and hardware company,,,2020
Instoried,Delhi,Saas,Augmented writing platform which improves customer interest and engagement,,,2020
Nupay,Haryana,Neo-Banking,Integrated platform for Receivables and Payables automation Electronic Invoicing Reconciliations and Bank payouts,,,2020
Loginext,Mumbai,Transport Automation,It helps logistics companies to improve internal operations optimise delivery networks and provide customer service,39000000.0,Series B,2020
Samosa Singh,Bengaluru,Food,Offers hygienic Indian Snacks,2700000.0,Series A,2020
Crysta,Delhi,Healthtech,Offers diagnostic and screening services with regular counselling and clinical data management,1403400.0,Pre Series A,2020
Eupheus Learning,New Delhi,Edtech,Provides technologyled subscriptionbased learning solutions to schools,4300000.0,Series A,2020
Bounce,Bengaluru,Automotive And Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,105000000.0,Series D,2020
Park+,Gurugram,Techonology,It is engaged in bringing digitization in parking,11000000.0,,2020
Goodmylk,Bengaluru,Dairy,Provides Vegan dairy products,400000.0,Seed Round,2020
Smartkarrot,Bengaluru,Saas,It tracks customers realtime digital behaviour,1000000.0,,2020
Skylo,Bengaluru,Iot,Provides affordable and ever present network that connects machines or sensors,103000000.0,Series B,2020
Tea Trunk,Goa,Beverage,Global premium tea brand,220000.0,,2020
Zoomcar,Bengaluru,Transport & Rentals,A car rental service platform,30000000.0,Series D,2020
Mera Cashier,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,250000.0,Seed Round,2020
Samya Ai,Bengaluru,Saas,Revenue growth AI startup in the consumer packed goods CPG space,6000000.0,Seed Round,2020
Kristal Ai,Bengaluru,Ai,Provides Algorithmbased financial services,6000000.0,Series A,2020
Invento Robotics,Bengaluru,Ai Robotics,Known for Mitra Series of Robots,281300.0,Seed Round,2020
Zimyo,Gurugram,Hr Tech,Automates everyday HR processes with integrated solutions,,,2020
Sabse Sasta Dukaan,Kolkata,Pharmaceutical,Online pharmacy dealing in medicines,,,2020
Fitphilia,Mumbai,Healthtech,Provides IoTenabled treadmill,,,2020
Medicus,Mumbai,Healthtech,AIbased platform that explains and interprets blood tests and medical reports,12700.0,,2020
Monech,Mumbai,Fintech,Automated platform which will help users to take their financial decisions,12700.0,Seed Round,2020
Teach Us,Hyderabad,Edtech,Educational portal which enables the students to access information related to education at one common platform,12700.0,Seed Round,2020
Dealberg,Bengaluru,B2B Marketplace,Deals in office supplies,,,2020
Phenom People,Hyderabad,Hr Tech,It redefines the means to search for a job and recruit top talent,30000000.0,Series C,2020
Extra Edge,Pune,Edtech,Admission Marketing Automation software for the education industry,700000.0,Pre Series A,2020
Capital Quotient,Bengaluru,Fintech,Investment advisor,600000.0,,2020
Karfa,Delhi,Ecommerce,It sells products crafted by artisans,25000.0,Seed Round,2020
Gamerji,Ahmedabad,Gaming,Esports tournament platform,400000.0,,2020
Bounce,Bengaluru,Automotive And Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,97500000.0,Series D,2020
Zinier,Bengaluru,Automation,Provides intelligent field service automation,90000000.0,Series C,2020
Proeves,Delhi,Preschool Daycare,Provides techenabled endtoend childcare support solutions for corporate and retail consumers,507000.0,Seed Round,2020
Toddle,Bengaluru,Edtech,Collaboration and productivity platform for teachers across the world,,,2020
Aesthetic Nutrition,New Delhi,Food Diet,Markets and sells chewable dietary supplements,,Pre Series A,2020
Capital Float,Bengaluru,Fintech,Digital lending,15000000.0,,2020
Ninjacart,Bengaluru,B2B Agritech,Online grocery delivery platform,10000000.0,Series C,2020
Technifybiz,New Delhi,B2B Agritech,Online marketplace for nonperishable food items,2000000.0,Seed Round,2020
Wysh,Hyderabad,E-Connect,Celebrity engagement and wishing platform,2000000.0,Series A,2020
Keito,Pune,Ai,Enterprise productivity startup,160000.0,Seed Round,2020
Klub,Bengaluru,Fintech,Provides growth financing to highaffinity brands,2000000.0,Pre seed round,2020
Aadhar,Mumbai,Ecommerce,Ayurveda wellness and lifestyle consumer brand,,Seed Round,2020
Incubatehub,Bengaluru,Tech Hub,Provides platform for Corporates to connect establish brand presence among innovation community,,,2020
Rage Coffee,Delhi,Fmcg,Provides effective Instant Coffee Infused with Natural Brain Vitamins  Plant Based Cognitive Enhancers,,,2020
Skilancer,Noida,Technology,Solar module cleaning system MCS providers,,,2020
Harappa Education,New Delhi,Edtech,Provides online courses on foundational skills,,,2020
Rheo,Bengaluru,Entertainment,Online esports streaming and community platform,2000000.0,,2020
Axio Biosolutions,Bengaluru,Medtech,Medical device manufacturer,5200000.0,Series B,2020
Techbooze,New Delhi,Consultancy,Business Development Consulting and Funding facilitator for Startups Enterprise,15000000.0,Series A,2020
Paymart,Chandigarh,Fintech,Provides cardless cash withdrawals through small merchants shops,,,2020
Testbook,Mumbai,Edtech,Helps students prepare online for competitive exams,8400000.0,Series B,2020
Faballey,Noida,Ecommerce,Online fashion store,1100000.0,,2020
Haikujam,Mumbai,Edtech,Creative writing mobile platform,3400000.0,,2020
Mamaearth,Gurugram,Ecommerce,Online baby and mother care brand,18300000.0,Series A,2020
Rentomojo,Bengaluru,Rental,Furniture electronics and appliancecentric consumer leasing platform,2000000.0,,2020
Zomato,Gurugram,Foodtech,Online food delivery and restaurant discovery platform,150000000.0,,2020
Byju,Bengaluru,Edtech,Provides online learning classes,200000000.0,,2020
Generico,Mumbai,Pharmacy,Generic medicine focussed retail chain,1400000.0,,2020
Highradius,Hyderabad,Saas,An AIbased platform to automate accounts receivables and treasury processes,125000000.0,Series B,2020
Chai Kings,Chennai,Beverage,It offers a range of tea in various flavour,1000000.0,,2020
Rivigo,Gurugram,Logistics,It offers delivery services across India to retail ecommerce pharmaceutical automobile and FMCG companies,3400000.0,Series F,2020
Buildpan,Indore,Saas,It helps developers to test integrate and deploy apps,,Seed Round,2020
Shiksha,Noida,Edtech,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,181000.0,,2020
Super Surfaces,Hyderabad,Deisgning,A design solution based company,500000.0,Series A,2020
Quicko,Ahmedabad,Taxation,Online tax planning and filing platform,280000.0,,2020
Satin Creditcare,Gurugram,Fintech,A micro finance company,15000000.0,,2020
Xpressbees,Pune,Logistics,Provides end to end supply chain solutions,10000000.0,,2020
Farmerp,Pune,Agritech,Smart agriculture management ERP software platform,,Series A,2020
Wealth Bucket,Bengaluru,Fintech,An online platform for mutual fund investments,3000000.0,,2020
Gomechanic,Delhi,Automobile Technology,Find automobile repair and maintenance service providers,14700000.0,Series B,2020
Fashor,Chennai,Fashion,Womens fashion and apparel,1000000.0,Pre Series A,2020
Leverage Edu,Delhi,Edtech,AI enabled marketplace that provides career guidance,1500000.0,,2020
Epifi,New Delhi,Fintech,It offers customers with a single interface for all their financial and banking mandates,13200000.0,Seed Round,2020
Purplle,Mumbai,Cosmetics,Online makeup and beauty products retailer,8000000.0,,2020
Shuttl,Delhi,Transport,App based bus aggregator serice,8043000.0,Series C,2020
Pando,Chennai,Logitech,Networked logistics management software,9000000.0,Series A,2020
